,Date,AirportName,PercentOfBaseline,Centroid.Latitute,Centroid.Longitude,City,State,ISO_3166_2,Country
234,2020/9/16,Santiago International Airport,53,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
235,2020/7/23,Santiago International Airport,28,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
236,2020/9/14,Santiago International Airport,47,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
237,2020/3/23,Santiago International Airport,32,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
238,2020/10/8,Santiago International Airport,50,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
239,2020/10/10,Santiago International Airport,34,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
240,2020/6/15,Santiago International Airport,32,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
241,2020/8/20,Santiago International Airport,32,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
242,2020/3/16,Santiago International Airport,96,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
243,2020/4/7,Santiago International Airport,25,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
244,2020/4/27,Santiago International Airport,22,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
245,2020/9/13,Santiago International Airport,25,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
246,2020/5/5,Santiago International Airport,13,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
247,2020/9/29,Santiago International Airport,46,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
248,2020/5/26,Santiago International Airport,22,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
249,2020/4/18,Santiago International Airport,10,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
250,2020/7/9,Santiago International Airport,33,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
251,2020/4/13,Santiago International Airport,26,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
252,2020/4/17,Santiago International Airport,18,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
253,2020/4/23,Santiago International Airport,20,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
254,2020/6/5,Santiago International Airport,27,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
255,2020/3/22,Santiago International Airport,13,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
256,2020/6/3,Santiago International Airport,41,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
257,2020/6/17,Santiago International Airport,30,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
258,2020/6/10,Santiago International Airport,24,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
259,2020/6/26,Santiago International Airport,32,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
260,2020/5/23,Santiago International Airport,15,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
261,2020/9/23,Santiago International Airport,44,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
262,2020/4/12,Santiago International Airport,4,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
263,2020/5/20,Santiago International Airport,35,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
264,2020/8/19,Santiago International Airport,48,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
265,2020/7/24,Santiago International Airport,34,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
266,2020/5/4,Santiago International Airport,25,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
267,2020/10/5,Santiago International Airport,56,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
268,2020/6/23,Santiago International Airport,32,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
269,2020/9/6,Santiago International Airport,20,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
270,2020/5/25,Santiago International Airport,27,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
271,2020/4/28,Santiago International Airport,21,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
272,2020/8/23,Santiago International Airport,22,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
273,2020/10/16,Santiago International Airport,61,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
274,2020/9/1,Santiago International Airport,47,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
275,2020/7/8,Santiago International Airport,32,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
276,2020/9/15,Santiago International Airport,54,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
277,2020/6/19,Santiago International Airport,28,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
